Carimbo de data/hora,Nome da Instituição:,CNES:,Data:,Responsável pelo preenchimento:,Quantidade de leitos clínicos SUS totais:,Quantidade de leitos clínicos SUS ocupados:,Quantidade de leitos clínicos convênios/particulares totais:,Quantidade de leitos clínicos convênios/particulares ocupados:,Quantidade de leitos cirúrgicos SUS totais:,Quantidade de leitos cirúrgicos SUS ocupados:,Quantidade de leitos cirúrgicos convênios/particulares totais:,Quantidade de leitos cirúrgicos convênios/particulares ocupados:,Quantidade de leitos pediátricos SUS totais:,Quantidade de leitos pediátricos SUS ocupados:,Quantidade de leitos pediátricos convênios/particulares totais:,Quantidade de leitos pediátricos convênios/particulares ocupados:,Quantidade de leitos de UTIA SUS totais:,Quantidade de leitos de UTIA SUS ocupados:,Quantidade de leitos de UTIA convênios/particulares totais:,Quantidade de leitos de UTIA convênios/particulares ocupados:,Quantidade de leitos de UTI Neo e Ped SUS totais:,Quantidade de leitos de UTI Neo e Ped SUS ocupados:,Quantidade de leitos de UTI Neo e Ped convênios/particulares totais:,Quantidade de leitos de UTI Neo e Ped convênios/particulares ocupados:,Quantidade de leitos de GO/obstetrícia SUS totais:,Quantidade de leitos de GO/obstetrícia SUS ocupados:,Quantidade de leitos de GO/obstetrícia convênios/particulares totais:,Quantidade de leitos de GO/obstetrícia convênios/particulares ocupados:,Quantidade de pacientes em isolamento que necessitam de quarto privativo (ex.: quartos com 02 leitos ocupados com apenas 01 paciente em isolamento):,Quantidade de leitos de UCINCo/UCINCa SUS totais:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares ocupados:,Quantidade de leitos de UCINCo/UCINCa SUS ocupados:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares totais:,Anexar censo diário por tipo de clínica (censo hospitalar gerado pelo sistema utilizado na instituição):,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6
01/07/2025 11:46:00,Santa Casa de Ituverava,2751704,01.07.2025,,30,24,19,7,11,14,8,3,5,1,3,2,9,6,1,3,0,0,0,0,12,0,10,2,,0,0,0,0,https://drive.google.com/open?id=1pKpClxnA_8Srcj_bC-D2ojEMRx4ml7NS,,,,,,
01/07/2025 14:56:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,01/07/2025,,44,35,16,9,10,11,7,11,4,2,2,0,8,7,2,4,0,0,0,0,12,2,8,3,,0,0,0,0,https://drive.google.com/open?id=1rMjd0IsFLI-vXcGQGVJus4roEiFybhUb,,,,,,
01/07/2025 16:34:00,Santa Casa de FRanca,27059872,01.07.2025,,115,112,8,8,81,112,14,5,24,26,0,0,48,41,2,2,24,21,1,0,36,37,0,0,,18,0,15,0,https://drive.google.com/open?id=1knTxehjiOaprvwB0VoQA38HA-Ez-pHQ0,,,,,,
02/07/2025 10:58:00,Santa Casa de FRanca,2705982,02.07.2025,,115,118,8,8,81,110,14,8,24,24,0,0,48,42,2,2,24,19,1,0,36,26,0,0,,18,0,16,0,https://drive.google.com/open?id=1DHPC1O7uj17yOSc4_4lt46Iehff2ds5E,,,,,,
02/07/2025 11:57:00,SANTA CASA ITUVERAVA,2751704,02/07/2025,,30,24,19,5,11,10,8,6,5,2,3,0,9,6,1,2,0,0,0,0,12,7,10,1,,0,0,0,0,https://drive.google.com/open?id=1BpYV5pJ32527N5V-PxMM8zLVgYgfqaI5,,,,,,
02/07/2025 15:42:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,02.07.2025,,43,35,16,9,10,6,7,5,4,3,2,0,8,7,2,4,0,0,0,0,12,2,8,3,,0,0,0,0,https://drive.google.com/open?id=1oOoFEfHOgUMKprCBe0efONvAk2PIocG3,,,,,,
03/07/2025 11:19:00,Santa Casa Ituverava,2751704,03.07.2025,,30,22,19,5,11,6,8,2,5,1,3,0,9,7,1,3,0,0,0,0,12,8,10,2,,0,0,0,0,https://drive.google.com/open?id=1noQpJMHCwuI8v751iVXpii3-S-YwhbMx,,,,,,
03/07/2025 11:23:00,Santa Casa de Franca,2705982,03/07/2025,,115,113,8,8,81,98,14,13,24,26,0,0,48,39,2,2,24,21,1,0,36,45,0,0,,18,0,18,0,https://drive.google.com/open?id=1NDbaLKEgSoku5z-1C0vcTe6Y8-W95mLf,,,,,,
03/07/2025 14:40:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,03.07.2025,,43,35,16,9,10,10,7,3,4,4,2,2,8,8,2,4,0,0,0,0,12,1,8,2,,0,0,0,0,https://drive.google.com/open?id=1K3_l-tEBP7l-wG2XCEVOCLdqsBH7c485,,,,,,
04/07/2025 11:46:00,Santa Casa Ituverava,2751704,04.07.2025,,30,19,19,8,11,5,8,2,5,0,3,1,9,8,1,2,0,0,0,0,12,2,9,0,,0,0,0,0,https://drive.google.com/open?id=1094Dscup-m-4_XSnSSjk-alukiqMa2tO,,,,,,
